Этап,№ сим карты,№ Комплекса,Обозначение,IP адрес,IP адрес БИС,Свидетельство о поверки,Дата выдачи,Срок действия,Скорость на комплексе,TV,IRZ,Описание дислокации,Адрес установки,Направление камеры,Направление фиксации,Район,Координаты
1,79659275336,194352M026,uragan-053,10.32.8.54,192.168.144.26,С-АБ/30-06-2021/75369570,30.06.2021,29.06.2023,70,1350818073,1003530,"РБ, Кармаскалинский р-н, а-д Р-240, Уфа-Оренбург, 49 км 150 м",,,встречное,Кармаскалинский район,54.293456 55.879961
1,79276363876,194352M027,uragan-110,10.32.8.111,192.168.144.27,С-АБ/17-08-2021/87786833,17.08.2021,16.08.2023,90,1345579017,1003581,"РБ, Аургазинский р-н, а-д Р-240, Уфа-Оренбург, 74 км 254 м",,,встречное,Аургазинский район,54.070275 55.894793
1,79279246189,194352M028,uragan-097,10.32.8.98,192.168.144.28,С-АБ/01-12-2021/116447282,01.12.2021,30.11.2023,60,1349258468,1003486,"РБ, г.Нефтекамск, с.Михаиловка, пер-к Н-Б шоссе и Родниковая","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, перекресток Николо-Березовское шоссе и ул. Родниковая (село Михаиловка)",от ул. Родниковая к ул. Ленина,"ближнее - попутное, дальнее - встречное",Городской округ город Нефтекамск,56.108820 54.217992
1,79659277173,194352M029,uragan-077,10.32.8.78,192.168.144.29,С-АБ/13-12-2021/117837344,13.12.2021,12.12.2023,40,1394212334,1003328,"РБ, Аургазинский р-н, с.Толбазы, ул.Ленина, 143","Республика Башкортостан, Аургазинский район, с. Толбазы, ул. Ленина, д. 143",от ул. Титова к ул. Заводская,"ближнее - встречное, дальнее - попутное",Аургазинский район,54.006128 55.892871
1,79659277173,194352M031,uragan-012,10.32.8.13,192.168.144.31,С-АБ/03-12-2021/117181946,03.12.2021,02.12.2023,40,1351199162,1003532,"РБ, Чишминский р-н, п.г.т.Чишмы, ул.Ленина, 39","Республика Башкортостан, Чишминский район, п.г.т. Чишмы, ул. Ленина,  д. 39",от ул. Садовая к ул. Чернышевского,"ближнее - встречное, дальнее - попутное",Чишминский район,54.586695 55.382679
1,79659279184,194352M032,uragan-118,10.32.8.119,192.168.144.32,С-АБ/01-12-2021/116447279,01.12.2021,30.11.2023,60,1344804821,1003554,"РБ, ГО г. Нефтекамск, пр-т Юбилейный, д.21Г","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, проспект Юбилейный, д. 21Г",от ул. Карла Маркса к ул. Парковая,"ближнее - встречное, дальнее - попутное",Городской округ город Нефтекамск,56.085783 54.231318
1,79659276266,194352M033,uragan-023,10.32.8.24,192.168.144.33,С-АБ/24-08-2021/90187483,24.08.2021,23.08.2023,70,1312603072,1003498,"РБ, Чишминский р-н а-д М-5 ""Урал"", Самара-Уфа-Челябинск, 1442 км 150 м, право",,,встречное,Чишминский район,54.640562 55.606308
1,79276354278,194352M035,uragan-127,10.32.8.128,192.168.144.35,С-АБ/31-08-2021/98508061,31.8.2021,30.8.2023,90,1603188658,1003580,"РБ, Аургазинский р-н, а-д Р-240, Уфа-Оренбург, 95 км 437 м",,,встречное,Аургазинский район,53.888424 55.913547
1,79375009476,194352M036,uragan-109,10.32.8.110,192.168.144.36,С-АБ/01-12-2021/116447280,01.12.2021,30.11.2023,60,891352836,1003586,"РБ, г.Нефтекамск, пр-т Юбилейный, 16Б","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, проспект Юбилейный, д. 16Б",от ул. Парковая к ул. Ленина,"ближнее - попутное, дальнее - встречное",Городской округ город Нефтекамск,56.089839 54.237583
1,79875801132,194352M037,uragan-137,10.32.8.138,192.168.144.37,С-АБ/30-11-2021/114717577,30.11.2021,29.11.2023,60,1383584570,1003492,"РБ, г.Нефтекамск, пр-т Юбилейный, 4","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, пр. Юбилейный, д. 4",от ул. Строителей к ул. Социалистическая,"ближнее - встречное, дальнее - попутное",Городской округ город Нефтекамск,56.097475 54.245626
1,79659278450,194352M038,uragan-049,10.32.8.50,192.168.144.38,С-АБ/26-11-2021/114717617,26.11.2021,25.11.2023,20,1381571817,1003578,"РБ, Дюртюлинский р-н, г.Дюртюли, ул.Горшкова, 12","Республика Башкортостан, Дюртюлинский район, г.Дюртюли, ул. Горшкова, д. 12",от ул. Социалистическая к ул. Ленина,Встречное,Дюртюлинский район,55.492277 54.854771
1,79276362879,194352M039,uragan-144,10.32.8.145,192.168.144.39,С-АБ/16-08-2021/87786837,16.08.2021,15.08.2023,90/90,1377204380,1003489,"РБ, Уфимский р-н, Западный обход г. Уфы, 7 км 502 м",,,"ближнее - встречное, дальнее - попутное",Уфимский район,54.716872 55.776973
1,79659278817,194352M040,uragan-090,10.32.8.91,192.168.144.40,С-АБ/03-12-2021/117181960,03.12.2021,02.12.2023,60,1386855579,1003602,"РБ, Благовещенский р-н, г.Благовещенск, ул.Седова, д.42","Республика Башкортостан, Благовещенский район, г. Благовещенск, ул. Седова, д. 42",от ул. Западная к ул. Маркса,"ближнее - встречное, дальнее - попутное",Благовещенский район,55.038297 55.963088
1,79279254447,194352M041,uragan-132,10.32.8.133,192.168.144.41,С-АБ/14-12-2021/117837354,14.12.2021,13.12.2023,40,1308850861,1003592,"РБ, Давлекановский р-н, г.Давлеканово, ул.Высоковольтная, 13","Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. Высоковольтная, д. 13",от пер. Каранский к ул. К. Маркса,"ближнее - попутное, дальнее - встречное",Давлекановский район,"54.224908, 55.038358"
1,79279229381,194352M042,uragan-113,10.32.8.114,192.168.144.42,С-АБ/13-12-2021/117837367,13.12.2021,12.12.2023,40,1608823378,1003555,"РБ, Аургазинский р, д.Кальчирбуран, а-д на д.Кшанны","Республика Башкортостан, Аургазинский район, д. Кальчирбуран, а-д на д. Кшанны",от д. Кшанны к д. Соколовка,"ближнее - встречное, дальнее - попутное",Аургазинский район,54.080656 55.867561
1,79659279205,194352M043,uragan-065,10.32.8.66,192.168.144.43,С-АБ/03-12-2021/117181963,03.12.2021,02.12.2023,60,1386775878,1003372,"РБ, Бирский р-н, г. Бирск, ул. Кольцевая, д.9","Республика Башкортостан, Бирский район, г. Бирск, ул. Кольцевая, д. 9",от ул. Гагарина к ул. Республиканская,"ближнее - встречное, дальнее - попутное",Бирский район,55.429377 55.569815
1,79279246816,194352M044,uragan-040,10.32.8.41,192.168.144.44,С-АБ/08-12-2021/117837420,08.12.2021,07.12.2023,40,1305420178,1003512,РБ с.Кунакбаево ад Белорецк–Учалы–Миасс в р-не СОШ,"Республика Башкортостан, Учалинский район, с. Кунакбаево а-д Белорецк – Учалы – Миасс в районе СОШ",к ул. Мира,"ближнее - попутное, дальнее - встречное",Учалинский район,54.337312 59.312261
1,79659276429,194352M045,uragan-027,10.32.8.28,192.168.144.45,С-АБ/09-12-2021/117837408,09.12.2021,08.12.2023,"50 - встречное, 60 - попутное",1385104502,1003510,"РБ, Учалинский р-н, г. Учалы, ул. Ахметгалина, д.43","Республика Башкортостан, Учалинский район, г. Учалы ул. Ахметгалина, д. 43",от ул. Юбилейная к пер. Автомобилистов,"ближнее - встречное, дальнее - попутное",Учалинский район,54.332699 59.382453
1,79279230400,194352M046,uragan-096,10.32.8.97,192.168.144.46,С-АБ/14-12-2021/117837355,14.12.2021,13.12.2023,40,1378807317,1003264,"РБ, Давлекановский р-н, г.Давлеканово, ул.К.Маркса, д.39","Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. Карла Маркса, д. 39",от ул. Монтажная к ул. Индустриальная,"ближнее - попутное, дальнее - встречное",Давлекановский район,54.214250 55.024629
1,79659278677,194352M047,uragan-081,10.32.8.82,192.168.144.47,С-АБ/03-12-2021/117181965,03.12.2021,02.12.2023,60,1380791334,1003189,"РБ, Благовещенский р-н, г.Благовещенск, ул.50-лет Октября, 52","Республика Башкортостан, Благовещенский район, г. Благовещенск, 50 лет Октября, д. 52",от ул. Озёрная к ул. Худайбердина,"ближнее - встречное, дальнее - попутное",Благовещенский район,55.035455 55.992765
1,79659274824,194352M048,uragan-148,10.32.8.149,192.168.144.48,С-АБ/13-12-2021/117837346,13.12.2021,12.12.2023,40,1394704540,1003571,"РБ, Давлекановский р-н, г.Давлеканово, ул.1-я Заводская, 18","Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. 1-я Заводская, д. 18",от ул. Энгельса к ул. Молодежная,"ближнее - попутное, дальнее - встречное",Давлекановский район,54.220108 55.049817
1,79659278593,194352M049,uragan-018,10.32.8.19,192.168.144.49,С-АБ/09-12-2021/117837406,09.12.2021,08.12.2023,60,1387073494,1003490,"РБ, Учалинский р-н, г. Учалы, ул. Кунакбаевская, д.10","Республика Башкортостан, Учалинский район, г. Учалы ул. Кунакбаевская, д. 10",от ул. Уралтауская к ул. Яицкая,"ближнее - попутное, дальнее - встречное",Учалинский район,54.333805 59.366214
1,79659276197,194352M050,uragan-042,10.32.8.43,192.168.144.50,С-АБ/09-12-2021/117837410,09.12.2021,08.12.2023,90,1490724409,1003507,РБ Учалы Маслозаводская–а-д Белорецк–Учалы–Миасс,"Республика Башкортостан, Учалинский район, г. Учалы, перекресток ул. Маслозаводская – а-д Белорецк – Учалы – Миасс",от ул. Маслозаводская к ул. Губайдуллина,"ближнее - встречное, дальнее - попутное",Учалинский район,54.353389 59.394423
1,79659276284,194352M051,uragan-036,10.32.8.37,192.168.144.51,С-АБ/28-02-2022/143864234,28.02.2022,27.02.2024,70,1338659215,1003366,"РБ, Кушнаренковский р-н, а-д М-7 ""Волга"", 1269км+900м","РБ, Кушнаренковский р-н, а-д М-7 ""Волга"", 1269км+900м",,Встречное,Кушнаренковский р-н,55.138906 55.167649
1,79659280108,194352M052,uragan-087,10.32.8.88,192.168.144.52,С-АБ/16-08-2021/87786835,16.08.2021,15.08.2023,90/90,1338205901,1003370,"РБ, Уфимский р-н, Западный обход г. Уфы, 4 км 530 м",,,"ближнее - попутное, дальнее - встречное",Уфимский район,54.696990 55.762839
1,79375009578,194352M053,uragan-059,10.32.8.60,192.168.144.53,С-АБ/08-12-2021/117837415,08.12.2021,07.12.2023,60,1392567102,1003535,"РБ, Учалинский р-н, г.Учалы, ул.Центральная, 119","Республика Башкортостан, Учалинский район, г. Учалы ул. Центральная, д. 119",от пер. Некрасова к ул. Чехова,"ближнее - встречное, дальнее - попутное",Учалинский район,54.287665 59.437678
1,79659277334,194352M054,uragan-150,10.32.8.151,192.168.144.54,С-АБ/01-12-2021/116447273,01.12.2021,30.11.2023,60,1386618287,1003583,"РБ, г.Нефтекамск, ул.Н-Б шоссе (напротив ул.Строителей д.84А)","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, Николо-Березовское ш (напротив ул. Строителей, д. 84а)",от ул. Дзержинского к пр. Ленина,"ближнее - попутное, дальнее - встречное",Городской округ город Нефтекамск,56.106083 54.228100
1,79659278392,194352M055,uragan-025,10.32.8.26,192.168.144.55,С-АБ/26-11-2021/114717609,26.11.2021,25.11.2023,20,1341348892,1003536,"РБ, Дюртюлинский р-н, г. Дюртюли, ул. Пионерская, д.1","Республика Башкортостан, Дюртюлинский район, г. Дюртюли, ул. Пионерская, д. 1",от ул. Разила Мусина к ул. Ленина,"ближнее - попутное, дальнее - встречное",Дюртюлинский район,55.482523 54.866671
1,79875803543,194352M056,uragan-093,10.32.8.94,192.168.144.56,С-АБ/08-12-2021/117837417,08.12.2021,07.12.2023,60,1385134397,1003572,"РБ, Учалинский р-н, г.Учалы, ул.Ленина, 42","Республика Башкортостан, Учалинский район, г. Учалы, ул. Ленина, д. 42",от ул. Горького к ул. 65 лет Победы,"ближнее - встречное, дальнее - попутное",Учалинский район,54.325074 59.374138
1,79659279188,194352M057,uragan-101,10.32.8.102,192.168.144.57,С-АБ/22-02-2022/135275235,22.02.2022,21.02.2024,90,1342901922,1003570,"РБ, Уфимский р-н, а-д М-5 ""Урал"", 1446км+280м",,,Встречное,Уфимский район,54.651478 55.663213
1,79659280037,194352M058,uragan-033,10.32.8.34,192.168.144.58,С-АБ/08-12-2021/117837412,08.12.2021,до 07.12.2023,40,1340286334,1003523,"РБ, Учалинский р-н, г.Учалы, ул.Энергетиков, 7","Республика Башкортостан, Учалинский район, г. Учалы, ул. Энергетиков, д. 7 (СТО Автолайн)",от ул. Ленина к ул. Новороссийская,"ближнее - попутное, дальнее - встречное",Учалинский район,54.307807 59.384217
1,79875803422,194352M059,uragan-052,10.32.8.53,192.168.144.59,С-АБ/08-12-2021/117837418,08.12.2021,до 07.12.2023,60,1386735394,1003531,"РБ, Учалинский р-н, г.Учалы, ул.Ленина, 34","Республика Башкортостан, Учалинский район, г. Учалы, ул. Ленина, д. 34",от ул. К.Маркса к ул. Горького,"ближнее - попутное, дальнее - встречное",Учалинский район,54.322276 59.376001
1,79659278328,194352M060,uragan-048,10.32.8.49,192.168.144.60,С-АБ/26-11-2021/114717605,26.11.2021,25.11.2023,60,1382778239,1003497,"РБ, Дюртюлинский р-н, г.Дюртюли, ул.Советская, 81","Республика Башкортостан, Дюртюлинский район, г. Дюртюли, ул. Советская, д. 81",от пер. Милицейский к пер. Риковский,"ближнее - встречное, дальнее - попутное",Дюртюлинский район,55.481149 54.873035
1,79375009432,194352M061,uragan-051,10.32.8.52,192.168.144.61,С-АБ/28-02-2022/143864230,28.02.2022,27.02.2024,70,1578882068,1003506,"РБ, Кушнаренковский р-н, а-д М-7 ""Волга"", 1302км+212м",,,встречное,Кушнаренковский район,54.981082 55.547544
1,79276357228,194352M062,uragan-021,10.32.8.22,192.168.144.62,С-АБ/30-11-2021/114717561,30.11.2021,29.11.2023,40,1599327675,1003522,"РБ, Янаульский р-н, а-д Уфа-Бирск-Янаул, 212км 27м","Республика Башкортостан, Янаульский район, г. Янаул, а-д Уфа-Бирск-Янаул, 212 км +027м",от ул. Азина к с. Иткинеево,"ближнее - встречное, дальнее - попутное",Янаульский район,56.253357 54.967265
1,79659278245,194352M063,uragan-126,10.32.8.127,192.168.144.63,С-АБ/30-11-2021/114717576,30.11.2021,29.11.2023,60,1373697646,1003579,"РБ, ГО г. Нефтекамск, пр-т. Комсомольский, д.39Г","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, Комсомольский проспект, д. 39Г",от ул. Карла Маркса к ул. Карцева,Попутное,Городской округ город Нефтекамск,56.078366 54.237613
1,79276362616,194352M064,uragan-073,10.32.8.74,192.168.144.64,С-АБ/30-11-2021/114717579,30.11.2021,29.11.2023,60,1370483609,1003573,"РБ, г. Янаул, пер-к ул.Объездная и ул.Жуковского","Республика Башкортостан, Янаульский район, г. Янаул, ул. Объездная пересечение с ул. Жуковского",от ул. Азина к пер. Циолковского,"ближнее - встречное, дальнее - попутное",Янаульский район,56.272493 54.956683
